Name,Processor,OS,Graphics,RAM,Storage,Weight,Display,Keyboard,Ports,Camera,Battery,Touchpad
Dell 16 Plus Laptop,"Intel® Core™ Ultra 7 256V (47 TOPS NPU, 8 cores, up to 4.8 GHz)","Windows 11 Home, Copilot+ PC",Intel® Arc™ Graphics,,"1 TB, M.2, PCIe NVMe, SSD",,"16"", Non-Touch, 2.5K, IPS, WVA, Anti-Glare, 300 nits, ComfortView Plus","English Backlit Copilot key keyboard, numeric keypad",1 USB 3.2 Gen 1 (5 Gbps) port1 USB 3.2 Gen 2 (10 Gbps) Type-C® port with DisplayPort™ 1.4 and Power Delivery1 Thunderbolt™ 4 port with DisplayPort™ 2.1 and Power Delivery1 HDMI 2.1 port1 Universal Audio jack*,"1080p at 30 fps FHD camera, dual-array microphones",,Precision touchpad
Dell Pro 16 Plus Laptop,"Intel® Core™ Ultra 5 236V, vPro® (40 TOPS NPU, 8 cores, up to 4.7 GHz)","Windows 11 Pro, Copilot+ PC","Integrated Intel® Arc™ graphics for Intel® Core™ Ultra 5 236V vPro® processor, 16 GB LPDDR5x memory",,"512 GB, TLC, SSD",,"16"", Non-Touch, FHD+, IPS, Anti-Glare, 300 nits, 45% NTSC, FHD IR Cam",English US backlit Copilot key keyboard with numeric keypad,"2 Thunderbolt™ 4 (40 Gbps) with DisplayPort™ 2.1 Alt Mode/USB Type-C®/USB4/Power Delivery ports1 USB 3.2 Gen 1 Type-A port with PowerShare1 USB 3.2 Gen 1 Type-A port1 HDMI 2.1 port1 global headset jack1 RJ45 Ethernet port, 1GbE (only with Core™ Series and Core™ Ultra 200U Series CPUs)","1080p at 30 fps, FHD HDR RGB camera, Dual-array microphones1080p at 30 fps, FHD RGB-IR HDR camera, Dual-array microphones1440p at 30 fps, 5M RGB-IR HDR camera, Dual-array microphones, Ambient light sensor, Presence Detection",,Multi-touch gesture-enabled precision touchpad
Dell 14 Premium Laptop,"Intel® Core™ Ultra 7 255H (16 Cores, up to 5.1GHz Turbo)",Windows 11 Home,Intel® Arc™ graphics,,"512 GB, M.2, PCIe NVMe, SSD",,"14.5"", Non-Touch, 2K, 30-120Hz, 500 nits",Graphite Backlit English Keyboard with Fingerprint Reader,3 Thunderbolt™ 4 (40 Gbps) with Power Delivery and DisplayPort™ ports1 Universal audio jack (headphone and microphone combo) port,"1080p at 30 fps FHD RGB-IR camera, Dual-array microphones, Ambient light sensor, Windows Hello compliant, Express Sign-In™, Intel Intelligent Collaboration",,Seamless glass touchpad with haptics
Dell Pro Max 16 Laptop,"Intel® Core™ Ultra 5 235H, vPro® Enterprise (18MB, 14 cores, 14 threads, up to 5.00 GHz Turbo, 45W)",Windows 11 Pro,Intel® Arc™/Arc™ Pro GPU,,"256GB, M.2 2230, Gen4 PCIe NVMe, SSD, Class 35",,"16"", Non-Touch, FHD+, LCD, 300 nits, FHD HDR Cam, mic",English US backlit Copilot key keyboard with numeric keypad,"2 Thunderbolt™ 4 (40 Gbps) ports with Power Delivery and DisplayPort™1 USB 3.2 Gen 1 (5 Gbps) port with PowerShare1 USB 3.2 Gen 1 (5 Gbps) port1 HDMI 2.1 port1 RJ45 Ethernet port, 1GbE1 Global headset port","1080p at 30 fps widescreen FHD+ RGB HDR camera, Dual-array microphones, TNR1080p at 30 fps widescreen FHD+ RGB HDR + IR camera, Dual-array microphones, TNR8MP HDR + IR camera, Dual-array microphones, TNR, Ambient light sensor (post-RTS)",,Premium Precision TouchPad with Muti-touch Gesture
Dell 16 Premium Laptop,"Intel® Core™ Ultra 9 285H (16 Cores, up to 5.4GHz Turbo)",Windows 11 Home,"NVIDIA® GeForce RTX™ 5060, 8GB GDDR7, 45W",,"1 TB, M.2, PCIe NVMe, SSD",,"16.3"", Non-Touch, 2K, 30-120Hz, 500 nits",Platinum Backlit English Keyboard with Fingerprint Reader,"1 universal audio jackComputers shipped with integrated Intel® Arc Graphics, NVIDIA® GeForce® RTX™ 5050 discrete graphics (coming soon), or NVIDIA® GeForce® RTX™ 5060 discrete graphics3 Thunderbolt™ 4 Gen 2 Type-C® ports with DisplayPort™ 2.1 and Power Delivery","1080p at 30 fps FHD RGB-IR camera, Dual-array microphones, Ambient light sensor, Windows Hello compliant, Express Sign-In™, Intel Intelligent Collaboration",,Seamless glass touch with haptics
Alienware 16 Aurora Gaming Laptop,"Intel® Core™ 7 Processor (Series 2) 240H (24MB cache, 10 cores, 1.80 to 5.20 GHz P-Core)",Windows 11 Home,"NVIDIA® GeForce RTX™ 5050, 8 GB GDDR7",,"512 GB, M.2, PCIe NVMe, SSD",,"16"", WQXGA, 120Hz, 300 nits, 100% sRGB, ComfortView Plus","Alienware White Backlit Keyboard, English US","2 USB 3.2 Gen 1 (5 Gbps) ports1 USB 3.2 Gen 2 (10 Gbps) Type-C® port with DisplayPort™ 1.4a ports1 USB 3.2 Gen 2 (10 Gbps) Type-C® port with Power Delivery1 HDMI 2.1 port with Discrete Graphics Controller Direct Output 1 universal audio jack (RCA, 3.5 mm)1 RJ45 Ethernet port, 1GbE1 power-adapter port","720p at 30 fps HD camera, Dual-array microphones",,Multi-touch gesture Premium Precision touchpad with integrated scrolling
Alienware 18 Area-51 Gaming Laptop,"Intel® Core Ultra 9 processor 275HX (24-Core, 36MB Total Cache, 2.7GHz to 5.4GHz)",Windows 11 Home,NVIDIA® GeForce RTX™ 5080 16 GB GDDR7,,"2 TB, M.2, Gen 4 PCIe NVMe, SSD",,"18"", WQXGA, 300Hz, 500 nits, 100% DCI-P3, Advanced Optimus, ComfortView Plus, G-SYNC, FHD Cam.",English US keyboard with per-key AlienFX RGB lighting,"Left Side Ports1 Global headset jack1 Full sized SD card (push-pull)Rear Ports1 RJ45 Ethernet port, 5GbE2 USB Type-A 3.2 Gen 1 (5 Gbps)1 USB Type-A 3.2 Gen 1 (5 Gbps) with PowerShare2 Thunderbolt 4 ports (for configurations with NVIDIA® GeForce RTX™ 5070 and below)2 Thunderbolt 5 ports (for configurations with NVIDIA® GeForce RTX™ 5070Ti and above)1 HDMI 2.1",Alienware 2MP FHD IR (1920 x 1080 resolution) camera with dual-array microphones and Windows Hello support Alienware 8MP UHD HDR IR (3840 x 2160 resolution) camera with dual-array microphones and Windows Hello support,,Multi-touch gesture Premium Precision glass non-RGB touchpad with integrated scrollingMulti-touch gesture Premium Precision glass RGB LED AlienFX lighting touchpad with integrated scrolling (on configurations including NVIDIA® GeForce RTX™ 5070 Ti and higher only)
Dell 15 Laptop,"Intel® Core™ 3 100U (6 cores, up to 4.7 GHz)",Windows 11 Home,Intel® UHD Graphics,,"512 GB, M.2, PCIe NVMe, SSD",,"15.6"", Non-Touch, FHD, 120Hz, WVA, IPS, Anti-Glare, 250 nits",English US non-backlit keyboard,1 USB 3.2 Gen 1 Type-A (5 Gbps) port1 USB 2.0 (480 Mbps) port1 USB 3.2 Gen 1 (5 Gbps) Type-C® data only port (only for computers with 13th Gen Intel® Core™ processors)1 USB 3.2 Gen 1 (5 Gbps) Type-C® port with displayport 1.4 and power Delivery (only for computers with aluminum chassis)1 Universal Audio Jack* 1 HDMI 1.4 port* 1 Power Jack,"720p at 30 fps HD RGB camera, Single integrated microphone  (only for computers with plastic chassis)1080p at 30 fps FHD RGB camera, Dual-array microphone  (only for computers with aluminum chassis)",,
Alienware 16X Aurora Gaming Laptop,"Intel® Core™ Ultra 7 Processor 255HX (30MB cache, 20 cores, 1.8 to 5.2 GHz P-Core)",Windows 11 Home,"NVIDIA® GeForce RTX™ 5060, 8 GB GDDR7",,"1 TB, M.2, PCIe NVMe, SSD",,"16"", WQXGA, 240Hz, 100% DCI-P3, ComfortView Plus, G-SYNC","1-Zone AlienFX RGB Keyboard, English US","2 USB 3.2 Gen 1 (5 Gbps) ports1 USB 3.2 Gen 2 (10 Gbps) Type-C® port with Power Delivery1 Thunderbolt™ 4 (40 Gbps) port with DisplayPort™ 2.11 HDMI 2.1 port with Discrete Graphics Controller Direct Output 1 universal audio jack (RCA, 3.5 mm)1 RJ45 ethernet port (1 Gbps)  1 power-adapter portNOTE: To use NVIDIA G-SYNC, connect your computer to the monitor using an HDMI cable. Alternatively, you can use a USB-C to DisplayPort cable (purchased separately) to connect the monitor to the Thunderbolt™ 4 port on your computer.","1080p at 30 fps, FHD RGB-IR HDR camera, Dual-array microphones",,Multi-touch gesture Premium Precision touchpad with integrated scrolling
Dell 15 Laptop,AMD Ryzen™ 3 7320U with Radeon™ 610M,Windows 11 Home,AMD Radeon™ 610M,,"512 GB, M.2, PCIe NVMe, SSD",,"15.6"", Non-Touch, FHD, 120Hz, WVA, IPS, Anti-Glare, 250 nits",English US non-backlit keyboard,1 USB Type-A 3.2 Gen 1 (5 Gbps) port1 USB 3.2 Gen 1 (5 Gbps) Type-C® port (data only)1 USB 2.0 (480 Mbps) port1 Universal Audio Jack* 1 HDMI 1.4 port* 1 Power jack,720p at 30 fps HD camera,,
Dell Pro Max 18 Plus Laptop,"Intel® Core™ Ultra 7 processor 265HX, 55W vPro",Windows 11 Pro,NVIDIA RTX PRO 2000 Blackwell 8GB GDDR7,,"512 GB Performance SSD, SED Ready,TLC",,"18"", Non-Touch, QHD+, LCD, 500 nits, 100% DCI-P3, RGB Cam, mic",English US backlit Copilot key keyboard with numeric keypad,1 Audio jack port1 Thunderbolt™ 4 (40 Gbps) port with Power Delivery and DisplayPort™1 USB 3.2 Gen 1 (5 Gbps) port with PowerShare1 USB 3.2 Gen 1 (5 Gbps) port1 RJ45 ethernet port (2.5 Gbps)1 HDMI 2.1 port2 Thunderbolt™ 5 (80 Gbps) ports with Power Delivery and DisplayPort™,"1080p at 30 fps HDR FHD RGB camera, Dual-array microphones8MP 30 fps HDR RGB+IR camera, Dual-array microphones, Ambient light sensor",,Precision touchpad
Dell 14 Plus Laptop,"Intel® Core™ Ultra 7 256V (47 TOPS NPU, 8 cores, up to 4.8 GHz)","Windows 11 Home, Copilot+ PC",Intel® Arc™ Graphics,,"1 TB, M.2, PCIe NVMe, SSD",,"14"", Non-Touch, 2.5K, IPS, WVA, Anti-Glare, 300 nits, ComfortView Plus","English Backlit Copilot key keyboard, no numeric keypad",1 USB 3.2 Gen 1 (5 Gbps) port1 USB 3.2 Gen 2 (10 Gbps) Type-C® port with DisplayPort™ 1.4 and Power Delivery1 Thunderbolt™ 4 port with DisplayPort™ 2.1 and Power Delivery1 HDMI 2.1 port1 Universal Audio jack*,"1080p at 30 fps FHD camera, dual-array microphones",,Precision touchpad
Dell 16 Plus 2-in-1 Laptop,"Intel® Core™ Ultra 7 256V (47 TOPS NPU, 8 cores, up to 4.8 GHz)","Windows 11 Home, Copilot+ PC",Intel® ARC™ Graphics,,"1 TB, M.2, PCIe NVMe, SSD",,"16"", Touch, 2K, WVA, 300 nits","Ice Blue English Backlit Copilot Key Keyboard, Numeric Keypad",1 USB 3.2 Gen 1 Type-A (5 Gbps) 1 USB 3.2 Gen 2 (10 Gbps) Type-C® port with DisplayPort™ 1.4 and Power Delivery1 Thunderbolt™ 4 (40 Gbps) with DisplayPort™ 2.1 and Power Delivery1 HDMI 2.1 port1 Universal Audio jack*,"1080p at 30 fps FHD camera, Dual-array microphones",,Precision touchpad
Dell 15 Laptop,"13th Generation Intel® Core™ i5-1334U (10 cores, up to 4.60 GHz)",Windows 11 Home,Intel® UHD Graphics,,"512 GB, M.2, PCIe NVMe, SSD",,"15.6"", Non-Touch, FHD, 120Hz, WVA, IPS, Anti-Glare, 250 nits",English US non-backlit keyboard,1 USB 3.2 Gen 1 Type-A (5 Gbps) port1 USB 2.0 (480 Mbps) port1 USB 3.2 Gen 1 (5 Gbps) Type-C® data only port (only for computers with 13th Gen Intel® Core™ processors)1 USB 3.2 Gen 1 (5 Gbps) Type-C® port with displayport 1.4 and power Delivery (only for computers with aluminum chassis)1 Universal Audio Jack* 1 HDMI 1.4 port* 1 Power Jack,"720p at 30 fps HD RGB camera, Single integrated microphone  (only for computers with plastic chassis)1080p at 30 fps FHD RGB camera, Dual-array microphone  (only for computers with aluminum chassis)",,
Dell 16 Laptop,"Intel® Core™ 7 150U (10 cores, up to 5.4 GHz)",Windows 11 Home,Intel® Graphics,,"1 TB, M.2, PCIe NVMe, SSD",,16.0-inch 16:10 2K (1920x1200) Touch 300nits WVA/IPS Display with ComfortView,"Carbon Black English Non-Backlit Copilot Key Keyboard, Numeric Keypad",1 HDMI 1.4* 2 USB 3.2 Gen 1 (5 Gbps) Type-A 1 USB 3.2 Gen 2 (10Gbps) Type-C with Power Delivery 3.2 (10Gbps) & DisplayPort 1.4 1 Universal Audio Jack* 1 Power Jack,,,
Dell Pro 16 Plus Laptop,"Intel® Core™ Ultra 7 268V, vPro® (48 TOPS NPU, 8 cores, up to 5.0 GHz)","Windows 11 Pro, Copilot+ PC","Integrated Intel® Arc™ graphics for Intel® Core™ Ultra 7 268V vPro® processor, 32 GB LPDDR5x memory",,"512 GB, TLC, SSD",,"16"", Non-Touch, FHD+, IPS, Anti-Glare, 300 nits, 45% NTSC, 5MP + IR Cam, 5G capable",English US backlit Copilot key keyboard with numeric keypad,"2 Thunderbolt™ 4 (40 Gbps) with DisplayPort™ 2.1 Alt Mode/USB Type-C®/USB4/Power Delivery ports1 USB 3.2 Gen 1 Type-A port with PowerShare1 USB 3.2 Gen 1 Type-A port1 HDMI 2.1 port1 global headset jack1 RJ45 Ethernet port, 1GbE (only with Core™ Series and Core™ Ultra 200U Series CPUs)","1080p at 30 fps, FHD HDR RGB camera, Dual-array microphones1080p at 30 fps, FHD RGB-IR HDR camera, Dual-array microphones1440p at 30 fps, 5M RGB-IR HDR camera, Dual-array microphones, Ambient light sensor, Presence Detection",,Multi-touch gesture-enabled precision touchpad
Dell Pro Max 14 Laptop,,,,,,,,,,,,
Alienware 16 Area-51 Gaming Laptop,"Intel® Core Ultra 9 processor 275HX (24-Core, 36MB Total Cache, 2.7GHz to 5.4GHz)",Windows 11 Home,NVIDIA® GeForce RTX™ 5070 8 GB GDDR7,,"1 TB, M.2, Gen 4 PCIe NVMe, SSD",,"16"" WQXGA 2560x1600 240Hz 3ms 100% DCI-P3 500 nit, NVIDIA G-SYNC + Advanced Optimus, FHD Camera",English US keyboard with per-key AlienFX RGB lighting,Left Side Ports1 Global headset jackRear Ports,Alienware 2MP FHD IR (1920 x 1080 resolution) camera with dual-array microphones and Windows Hello support Alienware 8MP UHD HDR IR (3840 x 2160 resolution) camera with dual-array microphones and Windows Hello support,,Multi-touch gesture Premium Precision glass non-RGB touchpad with integrated scrollingMulti-touch gesture Premium Precision glass RGB LED AlienFX lighting touchpad with integrated scrolling (on configurations including NVIDIA® GeForce RTX™ 5070 Ti and higher only)
Dell 14 Plus 2-in-1 Laptop,"Intel® Core™ Ultra 5 226V (40 TOPS NPU, 8 cores, up to 4.5 GHz)","Windows 11 Home, Copilot+ PC",Intel® Arc™ Graphics,,"512 GB, M.2, PCIe NVMe, SSD",,"14"", Touch, 2K, WVA, 300 nits","Ice Blue English Backlit Copilot Key Keyboard, No Numeric Keypad",1 USB 3.2 Gen 1  Type-A  (5 Gbps) 1 USB 3.2 Gen 2 (10 Gbps) Type-C® port with DisplayPort™ 1.4 and Power Delivery1 Thunderbolt™ 4 (40 Gbps) with DisplayPort™ 2.1 and Power Delivery1 HDMI 2.1 port1 Universal Audio jack*,"1080p at 30 fps FHD camera, Dual-array microphones",,Precision touchpad
Dell Pro 16 Laptop,"Intel® Core™ Ultra 5 225U (12 TOPS NPU, 12 cores, up to 4.8 GHz)",Windows 11 Pro,Integrated Intel® graphics for Intel® Core™ Ultra 5 225U processor,,"256 GB, TLC, SSD",,"16"", Non-Touch, FHD+, IPS, 300 nits, 45% NTSC, Anti-Glare, FHD Cam",English US backlit Copilot key keyboard with numeric keypad,"1 Global headset port1 HDMI 2.1 (TMDS) port1 USB 3.2 Gen 1 (5 Gbps) Type-A port1 USB 3.2 Gen 1 (5 Gbps) Type-A port with PowerShare1 USB 3.2 Gen 2 (10 Gbps) Type-C® port with DisplayPort™ Alt mode/Power Delivery1 Thunderbolt™ 4 (40 Gbps) port with Power Delivery 3.1 & DisplayPort2.1™ Alt Mode/USB Type-C®/USB4/Power Delivery1 RJ45 Ethernet port, 1GbE1 power-adapter port1 Optional Contacted Smart Card Reader (only available on Platinum Silver chassis with Intel® Core™ Ultra 235U and 265U)","Core™ Series – Magnetite color, textured finish720p at 30 fps HD camera, Dual-array microphones1080p at 30 fps FHD camera, Dual-array microphones1080p at 30 fps FHD + IR camera, Dual-array microphonesCore™ Ultra 200U Series, AI PCs – Platinum silver color, metallic finish1080p at 30 fps FHD camera, Dual-array microphones1080p at 30 fps FHD + IR camera, Dual-array microphones",,Multi-touch gesture-enabled precision touchpad with integrated scrolling
Dell 14 Laptop,"Intel® Core™ 5 120U (10 cores, up to 5.0 GHz)",Windows 11 Home,Intel® Graphics,,"512 GB, M.2, PCIe NVMe, SSD",,14.0-inch 2K (1920x1200) Anti-Glare Non-Touch 300nits WVA/IPS Display,"English US backlit Copilot key keyboard, no numeric keypad",2 USB 3.2 Gen 1 Type-A (5 Gbps) ports1 USB 3.2 Gen 2 (10 Gbps) Type-C® with Power Delivery and DisplayPort™1 headset (headphone and microphone combo) port* 1 HDMI 1.4 port1 power-adapter portNote: The maximum resolution supported over HDMI is 1920x1080 @60Hz. No 4K/2K output.,"1080p at 30 fps widescreen FHD-RGB camera, Dual-array microphones",,Precision touchpad
Dell Pro Max 14 Laptop,"Intel® Core™ Ultra 5 225H (18MB, 14 cores, 14 threads, up to 4.90 GHz Turbo, 28W)",Windows 11 Pro,Intel® Arc™/Arc™ Pro GPU,,"256GB, M.2 2230, Gen4 PCIe NVMe, SSD, Class 35",,"14"", Non-Touch, FHD+, LCD, 300 nits, FHD HDR Cam, mic",English US backlit Copilot key keyboard,2 Thunderbolt™ 4 (40 Gbps) ports with Power Delivery and DisplayPort™1 USB 3.2 Gen 1 (5 Gbps) port with PowerShare1 USB 3.2 Gen 1 (5 Gbps) port1 HDMI 2.1 port1 RJ45 (1 Gbps) Ethernet port1 Global headset port,"1080p at 30 fps widescreen FHD+ RGB HDR camera, Dual-array microphones, TNR1080p at 30 fps widescreen FHD+ RGB HDR + IR camera, Dual-array microphones, TNR8MP HDR + IR camera, Dual-array microphones, TNR, Ambient light sensor (post-RTS)",,Premium Precision TouchPad with Muti-touch Gesture
Dell 16 Laptop,"Intel® Core™ 5 120U (10 cores, up to 5.0 GHz)",Windows 11 Home,Intel® Graphics,,"512 GB, M.2, PCIe NVMe, SSD",,16.0-inch 16:10 2K (1920x1200) Touch 300nits WVA/IPS Display with ComfortView,"Carbon Black English Non-Backlit Copilot Key Keyboard, Numeric Keypad",1 HDMI 1.4* 2 USB 3.2 Gen 1 (5 Gbps) Type-A 1 USB 3.2 Gen 2 (10Gbps) Type-C with Power Delivery 3.2 (10Gbps) & DisplayPort 1.4 1 Universal Audio Jack* 1 Power Jack,,,
Dell 14 Plus 2-in-1 Laptop,AMD Ryzen™ AI 5 340 Processor Including Radeon™ 840M Graphics,"Windows 11 Home, Copilot+ PC",AMD Radeon(TM) Graphics,,"512 GB, M.2, PCIe NVMe, SSD",,"14"", Touch, 2K, WVA, 300 nits","English US backlit Copilot key keyboard, no numeric keypad",2 USB-C 3.2 Gen 2 (10Gbps) with Power Delivery and DisplayPort™1 USB 3.2 Gen 1 Type-A1 HDMI 1.4*1 Universal Audio Jack* *The maximum resolution supported over HDMI is 1920x1080 @60Hz. No 4K2K output.,"1080p at 30 fps FHD camera, Dual-array microphones",,Precision touchpad
Dell 14 Plus Laptop,"AMD Ryzen™ AI 5 340 Processor (50 TOPS NPU, 6 cores, up to 4.8 GHz)","Windows 11 Home, Copilot+ PC",AMD Radeon™ Graphics,,"512 GB, M.2, PCIe NVMe, SSD",,"14"", Non-Touch, 2K, IPS, WVA, Anti-Glare, 300 nits","English Backlit Copilot key keyboard, no numeric keypad",2 USB-C 3.2 Gen 2 (10 Gbps) ports with DisplayPort™ and Power Delivery1 USB 3.2 Gen 1 Type-A port1 HDMI 1.4 port**1 universal audio jack* **The maximum resolution supported over HDMI is 1920x1080 @ 60Hz. No 4K2K output.,"1080p at 30 fps FHD camera, Dual-array microphones",,Precision touchpad
Latitude 7450 Laptop or 2-in-1,,,,,,,,,,,,
XPS 13 Laptop,"Intel® Core™ Ultra 7 processor 258V Series 2 (12MB Cache, 8 cores, up to 4.8 GHz)","Windows 11 Home, Copilot+ PC",Intel® Arc™ graphics,,"1 TB, M.2, PCIe NVMe, SSD",,"13.4"", Touch, 3K, OLED, 400 nits, InfinityEdge",Platinum Backlit English Keyboard with Fingerprint Reader,2 x Thunderbolt™ 4 (USB Type-C™) with Power Delivery and DisplayPort,"1080p at 30 fps FHD RGB camera, Dual-array microphones360p at 15 fps IR camera, Dual-array microphones",,Multi-touch gesture-enabled precision touchpad with integrated scrolling
Latitude 7350 Laptop or 2-in-1,,,,,,,,,,,,
Latitude 7350 Detachable,,,,,,,,,,,,
Inspiron 14 2-in-1 Laptop,AMD Ryzen™ 5 8640HS 6-core/12-thread Processor with Radeon™ Graphics,"Windows 11 Home, English, French, Spanish",AMD Radeon™ Graphics,,"512 GB, M.2, PCIe NVMe, SSD",,"14"", Touch, FHD+, WVA, 300 nits, ComfortView","English US backlit Copilot key keyboard, no numeric keypad",2 USB Type-C® 3.2 Gen 2 (10 Gbps) with Power Delivery and DisplayPort™ 1.4 ports2 USB 3.2 Gen 1 Type-A ports1 Universal audio jack* 1 HDMI 1.4 port - The maximum resolution supported over HDMI is 1920x1080 @60HZ. No 4K/2K output.,Integrated Widescreen FHD (1080p) Webcam with Dual Digital Microphone Array with Temporal Noise Reduction enabled,,Precision touchpad
Dell 15 Laptop,"13th Generation Intel® Core™ i5-1334U (10 cores, up to 4.60 GHz)",Windows 11 Home,Intel® UHD Graphics,,"512 GB, M.2, PCIe NVMe, SSD",,"15.6"", Non-Touch, FHD, 120Hz, WVA, IPS, Anti-Glare, 250 nits",English US non-backlit keyboard,1 USB 3.2 Gen 1 Type-A (5 Gbps) port1 USB 2.0 (480 Mbps) port1 USB 3.2 Gen 1 (5 Gbps) Type-C® data only port (only for computers with 13th Gen Intel® Core™ processors)1 USB 3.2 Gen 1 (5 Gbps) Type-C® port with displayport 1.4 and power Delivery (only for computers with aluminum chassis)1 Universal Audio Jack* 1 HDMI 1.4 port* 1 Power Jack,"720p at 30 fps HD RGB camera, Single integrated microphone  (only for computers with plastic chassis)1080p at 30 fps FHD RGB camera, Dual-array microphone  (only for computers with aluminum chassis)",,
Dell 16 Laptop,"Intel® Core™ 7 150U (10 cores, up to 5.4 GHz)",Windows 11 Home,Intel® Graphics,,"1 TB, M.2, PCIe NVMe, SSD",,16.0-inch 16:10 2K (1920x1200) Touch 300nits WVA/IPS Display with ComfortView,"Carbon Black English Non-Backlit Copilot Key Keyboard, Numeric Keypad",1 HDMI 1.4* 2 USB 3.2 Gen 1 (5 Gbps) Type-A 1 USB 3.2 Gen 2 (10Gbps) Type-C with Power Delivery 3.2 (10Gbps) & DisplayPort 1.4 1 Universal Audio Jack* 1 Power Jack,,,
