Name,Processor,OS,Graphics,RAM,Storage,Display,Weight,Battery,Keyboard,Ports,Camera,Touchpad
HP ZBook X G1i 16 Mobile Workstation PC with 3 Yr Warranty & Wolf Pro Security,,,,,,,,,,,,
"HP OmniBook 5 Laptop AI 16-af1037nr 16"", Touch screen, Windows 11 Home,  Intel® Core™ Ultra 7, 16GB RAM, 512GB SSD, 2K, Glacier silver",,,,,,,,,,,,
"HP Chromebook 15a-nb0097nr, ChromeOS, 15.6"", Intel® Core™ i3, 8GB RAM, 128GB UFS, FHD",,,,,,,,,,,,
HP ZBook Ultra G1a Next Gen AI Mobile Workstation PC 3 Yr Warranty & 3 Yr Wolf Pro Security,,,,,,,,,,,,
HP ProBook 4 G1i 16 inch Notebook AI PC  Wolf Pro Security Edition,,,,,,,,,,,,
HP ZBook Ultra G1a Next Gen AI Mobile Workstation PC 3 Yr Warranty & 3 Yr Wolf Pro Security,,,,,,,,,,,,
HP ZBook 8 G1i 14 inch Mobile Workstation PC  Wolf Pro Security Edition,,,,,,,,,,,,
HP EliteBook X G1i 14 inch Touch Notebook Next Gen AI PC 3 Yr Warranty & Wolf Pro Security Edition,,,,,,,,,,,,
HP ZBook 8 G1a 14 Mobile Workstation PC Touch with 3 Yr Warranty & Wolf Pro Security,,,,,,,,,,,,
"HP OmniBook 3 Laptop Next Gen AI 14-ha0087nr 14"", Windows 11 Home,  AMD Ryzen™ AI 7, 16GB RAM, 512GB SSD, FHD, Glacier silver",,,,,,,,,,,,
"HP OmniBook 5 Flip 2-in-1 Laptop 14-fp0000, 14"" Touch screen",,Included in Current Configuration,,,,Included in Current Configuration,,,Included in Current Configuration,,,
"HP OmniBook 7 Laptop Next Gen AI 17-dc0037nr 17.3"", Touch screen, Windows 11 Home,  Intel® Core™ Ultra 5, 16GB RAM, 512GB SSD, FHD, Glacier silver",,,,,,,,,,,,
HP EliteBook 8 G1a 16 Notebook AI PC Touch with 3 Yr Warranty & Wolf Pro Security,,,,,,,,,,,,
HP ZBook 8 G1i 16 Mobile Workstation PC Touch with 3 Yr Warranty & Wolf Pro Security,,,,,,,,,,,,
"HP OmniBook X Flip 2-in-1 Laptop Next Gen AI 16t-as000, 16""",,,,,,,,,,,,
"Victus by HP Gaming Laptop 15z-fb300,15.6""",,Included in Current Configuration,,Included in Current Configuration,,Included in Current Configuration,,,Included in Current Configuration,,,
HP ZBook Fury G1i 16 Mobile Workstation PC with 3 Yr Warranty & Wolf Pro Security,,,,,,,,,,,,
HP EliteBook X Flip G1i 14 inch Touch Notebook Next Gen AI PC 3 Yr Warranty & Wolf Pro Security Edition,,,,,,,,,,,,
"HP OmniBook 7 Laptop AI 16-ay0087nr 16"", Touch screen, Windows 11 Home,  Intel® Core™ Ultra 7, 16GB RAM, 1TB SSD, NVIDIA® GeForce RTX™ 4050, 2K, Glacier silver",,,,,,,,,,,,
HP EliteBook X G1i 14 inch Notebook Next Gen AI PC Wolf Pro Security Edition,,,,,,,,,,,,
"HP OmniBook 5 Laptop Next Gen AI 14-he0027nr 14"", Windows 11 Home, Snapdragon® X, 16GB RAM, 512GB SSD, 2K, Glacier silver",,,,,,,,,,,,
HP ZBook 8 G1i 16 Mobile Workstation PC Touch with 3 Yr Warranty & Wolf Pro Security,,,,,,,,,,,,
HP Elite x360 1040 14 inch G11 2-in-1 Notebook PC Wolf Pro Security Edition,,,,,,,,,,,,
"HP Laptop AI 15-fd2077nr 15.6"", Windows 11 Home,  Intel® Core™ Ultra 7, 16GB RAM, 512GB SSD, FHD, Natural silver",,,,,,,,,,,,
"OMEN Gaming Laptop 16z-ap000, 16.1""",,,,,,,,,,,,
HP EliteBook 8 G1a 14 Notebook Next Gen AI PC with 3 Yr Warranty & Wolf Pro Security,,,,,,,,,,,,
HP ZBook 8 G1i 16 Mobile Workstation PC Touch with 3 Yr Warranty & Wolf Pro Security,,,,,,,,,,,,
"HP Laptop 17t-cn400, 17.3""",,Included in Current Configuration,,Included in Current Configuration,,Included in Current Configuration,,,Included in Current Configuration,,,
HP ProBook 4 G1i 14 Notebook AI PC Touch with 3 Yr Wolf Pro Security,,,,,,,,,,,,
HP ZBook Fury G1i 16 Mobile Workstation PC with 3 Yr Warranty & Wolf Pro Security,,,,,,,,,,,,
"HP Pavilion x360 2-in-1 Laptop 14-ek2087nr 14"", Touch screen, Windows 11 Home,  Intel® Core™ 7, 16GB RAM, 256GB SSD, FHD, Natural silver",,,,,,,,,,,,
HP ZBook 8 G1a 14 Mobile Workstation PC Touch with 3 Yr Warranty & Wolf Pro Security,,,,,,,,,,,,
HP ProBook 4 G1q 14 Notebook AI PC with 3 Yr Wolf Pro Security,,,,,,,,,,,,
HP ZBook Power 16 inch G11 A Mobile Workstation PC 3 Yr Wolf Pro Security & 3 Yr Warranty,,,,,,,,,,,,
HP ZBook Fury G1i 18 Mobile Workstation PC with 3 Yr Warranty & Wolf Pro Security,,,,,,,,,,,,
"Victus by HP Gaming Laptop 15z-fb300,15.6""",,Included in Current Configuration,,Included in Current Configuration,,Included in Current Configuration,,,Included in Current Configuration,,,
"HP Chromebook 14a-nf0000nr, ChromeOS, 14"", Intel® N-series, 4GB RAM, 64GB eMMC, HD",,,,,,,,,,,,
HP ZBook 8 G1i 14 inch Mobile Workstation PC  Wolf Pro Security Edition,,,,,,,,,,,,
HP ProBook 4 G1i 14 Notebook AI PC Touch with 3 Yr Wolf Pro Security,,,,,,,,,,,,
HP ZBook 8 G1a 14 Mobile Workstation PC with 3 Yr Warranty & Wolf Pro Security,,,,,,,,,,,,
HP Fortis Flip G1m 11 inch Chromebook,,,,,,,,,,,,
HP EliteBook Ultra G1i 14 inch Notebook Next Gen AI PC Wolf Pro Security Edition,,,,,,,,,,,,
HP ZBook Fury G1i 18 inch Mobile Workstation PC- Customizable,,Included in Current Configuration,Included in Current Configuration,Included in Current Configuration,,Included in Current Configuration,,Included in Current Configuration,Included in Current Configuration,,Included in Current Configuration,
"HP OmniBook 5 Laptop 16, Windows 11 Home, 16"", Intel® Core™ 5, 16GB RAM, 512GB SSD, 2K, Glacier silver",,,,,,,,,,,,
"HP OmniBook 5 Laptop 16z-bc100, 16""",,Included in Current Configuration,,,,Included in Current Configuration,,,Included in Current Configuration,,,
"HP Chromebook x360 Laptop 14bt-cd000, 14""",,Included in Current Configuration,,,,Included in Current Configuration,,,Included in Current Configuration,,,
HP ZBook 8 G1i 16 inch Mobile Workstation PC - Customizable,,Included in Current Configuration,,Included in Current Configuration,,Included in Current Configuration,,Included in Current Configuration,Included in Current Configuration,,Included in Current Configuration,
"HP OmniBook 7 Aero Laptop Next Gen AI 13-bg1057nr 13.3"", Windows 11 Home,  AMD Ryzen™ AI, 16GB RAM, 1TB SSD, 2K, Glacier silver",,,,,,,,,,,,
HP ZBook 8 G1i 14 inch Mobile Workstation PC - Customizable,,Included in Current Configuration,,Included in Current Configuration,,Included in Current Configuration,,Included in Current Configuration,Included in Current Configuration,,Included in Current Configuration,
HP ZBook 8 G1ak 14 inch Mobile Workstation PC - Customizable,,Included in Current Configuration,,Included in Current Configuration,,Included in Current Configuration,,Included in Current Configuration,Included in Current Configuration,,Included in Current Configuration,
HP mt440 G3 Mobile Thin Client,,,,,,,,,,,,
HP mt440 G3 Mobile Thin Client,,,,,,,,,,,,
"HP Laptop 17t-cn300, 17.3""",,Included in Current Configuration,,Included in Current Configuration,,Included in Current Configuration,,,Included in Current Configuration,,,
"HP Laptop 17t-cn300, 17.3""",,Included in Current Configuration,,Included in Current Configuration,,Included in Current Configuration,,,Included in Current Configuration,,,
"HP Chromebook 14a-nf0050nr, ChromeOS, 14"", Intel® Core™ i3, 8GB RAM, 128GB UFS, FHD",,,,,,,,,,,,
HP ProBook 4 G1i 16 inch Notebook AI PC  Wolf Pro Security Edition,,,,,,,,,,,,
"HP Pavilion Laptop 16-af0087nr 16"", Windows 11 Home,  Intel® Core™ Ultra 7, 16GB RAM, 512GB SSD, 2K, Natural silver",,,,,,,,,,,,
"HP Chromebook Plus Laptop 14at-nf000, 14""",,Included in Current Configuration,,,,Included in Current Configuration,,,Included in Current Configuration,,,
"HP OmniBook X Laptop 14-fe0097nr 14"", Touch screen, Windows 11 Home, Snapdragon®, 16GB RAM, 1TB SSD, 2.2K, Ceramic white",,,,,,,,,,,,
HP EliteBook 8 G1i 16 inch Notebook Next Gen AI PC - Customizable,,Included in Current Configuration,,,,Included in Current Configuration,,Included in Current Configuration,Included in Current Configuration,,Included in Current Configuration,
HP ProBook 4 G1a 14-inch Notebook AI PC - Customizable,,Included in Current Configuration,,Included in Current Configuration,,Included in Current Configuration,,Included in Current Configuration,Included in Current Configuration,,Included in Current Configuration,
HP ProBook 4 G1a 16-inch Notebook AI PC - Customizable,,Included in Current Configuration,,Included in Current Configuration,,Included in Current Configuration,,Included in Current Configuration,Included in Current Configuration,,Included in Current Configuration,
HP EliteBook 6 G1a 16-inch Notebook AI PC - Customizable,,Included in Current Configuration,,Included in Current Configuration,,Included in Current Configuration,,Included in Current Configuration,Included in Current Configuration,,Included in Current Configuration,
HP EliteBook 6 G1a 14-inch Notebook AI PC- Customizable,,Included in Current Configuration,,Included in Current Configuration,,Included in Current Configuration,,Included in Current Configuration,Included in Current Configuration,,Included in Current Configuration,
HP EliteBook X Flip G1i 14-inch Notebook Next Gen AI PC - Customizable,,,,,,,,,,,,
HP EliteBook X G1i 14 inch Notebook Next Gen AI PC - Customizable,,Included in Current Configuration,,,,Included in Current Configuration,,Included in Current Configuration,Included in Current Configuration,,,
HP ProBook 4 G1i 16 inch Notebook AI PC  Wolf Pro Security Edition,,,,,,,,,,,,
HP mt645 G8 Mobile Thin Client Wi-Fi,,,,,,,,,,,,
HP mt645 G8 Mobile Thin Client Wi-Fi,,,,,,,,,,,,
HP mt645 G8 Mobile Thin Client Wi-Fi,,,,,,,,,,,,
HP mt645 G8 Mobile Thin Client Wi-Fi,,,,,,,,,,,,
HP mt645 G8 Mobile Thin Client Wi-Fi,,,,,,,,,,,,
HP EliteBook 6 G1i 14 Notebook AI PC with 3 Yr Warranty & Wolf Pro Security,,,,,,,,,,,,
HP EliteBook 6 G1i 14 Notebook AI PCTouch with 3 Yr Warranty & Wolf Pro Security,,,,,,,,,,,,
HP EliteBook 6 G1i 14 Notebook AI PC with 3 Yr Warranty & Wolf Pro Security,,,,,,,,,,,,
HP EliteBook 6 G1i 16 Notebook AI PC with 3 Yr Warranty & Wolf Pro Security,,,,,,,,,,,,
"HP OmniBook X Laptop 14-fe0087nr 14"", Touch screen, Windows 11 Home, Snapdragon®, 16GB RAM, 1TB SSD, 2.2K, Meteor silver",,,,,,,,,,,,
HP ProBook 4 G1a 14 Notebook AI PC with 3 Yr Wolf Pro Security,,,,,,,,,,,,
"HP OmniBook X Laptop 14-fe0057nr 14"", Touch screen, Windows 11 Home, Snapdragon®, 16GB RAM, 512GB SSD, 2.2K, Meteor silver",,,,,,,,,,,,
"HP OmniBook X Laptop 14-fe0058nr 14"", Touch screen, Windows 11 Home, Snapdragon®, 16GB RAM, 512GB SSD, 2.2K, Ceramic white",,,,,,,,,,,,
"HP OmniBook Ultra Laptop 14-fd0087nr 14"", Touch screen, Windows 11 Home,  AMD Ryzen™ AI 9, 16GB RAM, 1TB SSD, 2.2K, Meteor silver",,,,,,,,,,,,
"HP Laptop 14-ep1072nr 14"", Windows 11 Home,  Intel® Core™ 5, 16GB RAM, 512GB SSD, FHD, Natural silver",,,,,,,,,,,,
"HP Laptop 15-fd1070nr 15.6"", Windows 11 Home,  Intel® Core™ 3, 8GB RAM, 256GB SSD, HD, Jet black",,,,,,,,,,,,
"HP Laptop 15-fd1071nr 15.6"", Windows 11 Home,  Intel® Core™ 5, 8GB RAM, 256GB SSD, FHD, Jet black",,,,,,,,,,,,
HP EliteBook 6 G1aN 14 Notebook Next Gen AI PC with 3 Yr Warranty & Wolf Pro Security,,,,,,,,,,,,
HP EliteBook 6 G1aN 14 Notebook Next Gen AI PC with 3 Yr Warranty & Wolf Pro Security,,,,,,,,,,,,
HP EliteBook 6 G1a 16 Notebook AI PC with 3 Yr Warranty & Wolf Pro Security,,,,,,,,,,,,
HP EliteBook 6 G1i 14 Notebook AI PC with 3 Yr Warranty & Wolf Pro Security,,,,,,,,,,,,
HP ZBook 8 G1a 14 Mobile Workstation PC with 3 Yr Warranty & Wolf Pro Security,,,,,,,,,,,,
HP EliteBook 6 G1i 14 Notebook AI PC with 3 Yr Warranty & Wolf Pro Security,,,,,,,,,,,,
HP EliteBook 6 G1i 14 Notebook AI PC with 3 Yr Warranty & Wolf Pro Security,,,,,,,,,,,,
HP EliteBook 6 G1i 14 Notebook AI PCTouch with 3 Yr Warranty & Wolf Pro Security,,,,,,,,,,,,
HP EliteBook 6 G1i 14 Notebook AI PCTouch with 3 Yr Warranty & Wolf Pro Security,,,,,,,,,,,,
